host,source,sourcetype,index,_raw
liacs253,xtremio://10.63.48.94::volumes,emc:xtremio:rest,main,"{    ""content"": {        ""unaligned-io-alerts"": ""enabled"",         ""small-io-alerts"": ""disabled"",         ""small-iops"": ""1"",         ""dest-snap-list"": [],         ""vol-id"": [            ""1cbf273338c644f4a7e2257c9421d7aa"",             ""cliqr_1"",             1        ],         ""obj-severity"": ""information"",         ""num-of-lun-mappings"": 4,         ""unaligned-rd-bw"": ""1"",         ""num-of-dest-snaps"": 0,         ""iops"": ""13"",         ""acc-num-of-small-wr"": ""11866953"",         ""alignment-offset"": 0,         ""lb-size"": 512,         ""logical-space-in-use"": ""385751024"",         ""unaligned-io-ratio-level"": ""high"",         ""acc-num-of-rd"": ""35289393"",         ""index"": 1,         ""small-rd-bw"": ""1"",         ""naa-name"": ""514f0c5a76000001"",         ""acc-size-of-wr"": ""3301804816"",         ""acc-num-of-small-rd"": ""14828057"",         ""unaligned-rd-iops"": ""0"",         ""wr-latency"": ""684"",         ""snapgrp-id"": [            ""f5ce44d40f9647a0a13cacab380e8531"",             """",             1        ],         ""ancestor-vol-id"": [],         ""vaai-tp-alerts"": ""enabled"",         ""creation-time"": ""2015-01-22 07:56:24"",         ""rd-bw"": ""1"",         ""xms-id"": [            ""408005ad385a4285a32d8cecc54d74c8"",             ""xms"",             1        ],         ""compressible"": ""yes"",         ""small-wr-bw"": ""0"",         ""acc-num-of-unaligned-rd"": ""26200339"",         ""lu-name"": """",         ""unaligned-iops"": ""10"",         ""unaligned-bw"": ""794"",         ""bw"": ""1354"",         ""small-io-ratio-level"": ""ok"",         ""lun-mapping-list"": [            [                [                    ""8b3737e3063d43cca8ddadf203897c70"",                     ""cliqr_blade1"",                     1                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 0            ],             [                [                    ""78e032e297d84ee0968d056146677bd2"",                     ""cliqr_blade2"",                     2                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 0            ],             [                [                    ""d6053cf294a94cc1a4471706c55703e8"",                     ""cliqr_blade3"",                     3                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 0            ],             [                [                    ""d4a20f1c9c8147e58f4a4ada8b13a0e0"",                     ""cliqr_blade4"",                     6                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 0            ]        ],         ""vol-size"": ""2147483648"",         ""wr-iops"": ""13"",         ""sys-id"": [            ""79068dd4028a49cba1bef92db57805f8"",             ""cec-xio"",             1        ],         ""avg-latency"": ""659"",         ""rd-latency"": ""120"",         ""small-wr-iops"": ""1"",         ""small-bw"": ""1"",         ""name"": ""cliqr_1"",         ""acc-num-of-unaligned-wr"": ""82445249"",         ""unaligned-wr-iops"": ""10"",         ""acc-num-of-wr"": ""98762808"",         ""small-io-ratio"": ""19"",         ""acc-size-of-rd"": ""3936859744"",         ""unaligned-wr-bw"": ""793"",         ""small-rd-iops"": ""0"",         ""unaligned-io-ratio"": ""81"",         ""rd-iops"": ""0"",         ""wr-bw"": ""1353""    },     ""links"": [        {            ""href"": ""https://10.63.48.94/api/json/types/volumes/1"",             ""rel"": ""self""        }    ]}"
liacs253,xtremio://10.63.48.94::volumes,emc:xtremio:rest,main,"{    ""content"": {        ""unaligned-io-alerts"": ""enabled"",         ""small-io-alerts"": ""disabled"",         ""small-iops"": ""3"",         ""dest-snap-list"": [],         ""vol-id"": [            ""8c124356b7bb45ff87e862da7b6e623d"",             ""cliqr_2"",             2        ],         ""obj-severity"": ""information"",         ""num-of-lun-mappings"": 4,         ""unaligned-rd-bw"": ""4"",         ""num-of-dest-snaps"": 0,         ""iops"": ""10"",         ""acc-num-of-small-wr"": ""15094456"",         ""alignment-offset"": 0,         ""lb-size"": 512,         ""logical-space-in-use"": ""896812504"",         ""unaligned-io-ratio-level"": ""high"",         ""acc-num-of-rd"": ""35168777"",         ""index"": 2,         ""small-rd-bw"": ""1"",         ""naa-name"": ""514f0c5a76000002"",         ""acc-size-of-wr"": ""6438979080"",         ""acc-num-of-small-rd"": ""11195484"",         ""unaligned-rd-iops"": ""0"",         ""wr-latency"": ""340"",         ""snapgrp-id"": [            ""eade420581424407ab6c6e154c7069bd"",             """",             2        ],         ""ancestor-vol-id"": [],         ""vaai-tp-alerts"": ""enabled"",         ""creation-time"": ""2015-01-29 08:55:28"",         ""rd-bw"": ""4"",         ""xms-id"": [            ""408005ad385a4285a32d8cecc54d74c8"",             ""xms"",             1        ],         ""compressible"": ""yes"",         ""small-wr-bw"": ""2"",         ""acc-num-of-unaligned-rd"": ""26460460"",         ""lu-name"": """",         ""unaligned-iops"": ""10"",         ""unaligned-bw"": ""62"",         ""bw"": ""64"",         ""small-io-ratio-level"": ""ok"",         ""lun-mapping-list"": [            [                [                    ""8b3737e3063d43cca8ddadf203897c70"",                     ""cliqr_blade1"",                     1                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 1            ],             [                [                    ""78e032e297d84ee0968d056146677bd2"",                     ""cliqr_blade2"",                     2                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 1            ],             [                [                    ""d6053cf294a94cc1a4471706c55703e8"",                     ""cliqr_blade3"",                     3                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 1            ],             [                [                    ""d4a20f1c9c8147e58f4a4ada8b13a0e0"",                     ""cliqr_blade4"",                     6                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 1            ]        ],         ""vol-size"": ""4294967296"",         ""wr-iops"": ""10"",         ""sys-id"": [            ""79068dd4028a49cba1bef92db57805f8"",             ""cec-xio"",             1        ],         ""avg-latency"": ""329"",         ""rd-latency"": ""126"",         ""small-wr-iops"": ""3"",         ""small-bw"": ""3"",         ""name"": ""cliqr_2"",         ""acc-num-of-unaligned-wr"": ""42500176"",         ""unaligned-wr-iops"": ""10"",         ""acc-num-of-wr"": ""49425927"",         ""small-io-ratio"": ""31"",         ""acc-size-of-rd"": ""2359570433"",         ""unaligned-wr-bw"": ""58"",         ""small-rd-iops"": ""0"",         ""unaligned-io-ratio"": ""81"",         ""rd-iops"": ""0"",         ""wr-bw"": ""60""    },     ""links"": [        {            ""href"": ""https://10.63.48.94/api/json/types/volumes/2"",             ""rel"": ""self""        }    ]}"
liacs253,xtremio://10.63.48.94::volumes,emc:xtremio:rest,main,"{    ""content"": {        ""unaligned-io-alerts"": ""enabled"",         ""small-io-alerts"": ""disabled"",         ""small-iops"": ""0"",         ""dest-snap-list"": [            [                ""b63db1ab345e4e18a0d3810bca016b08"",                 ""horizon_1.snap.04292015-13:26"",                 7            ]        ],         ""vol-id"": [            ""ef231e1c77b44e27b7cd2c418d2fa953"",             ""horizon_1"",             3        ],         ""obj-severity"": ""information"",         ""num-of-lun-mappings"": 2,         ""unaligned-rd-bw"": ""0"",         ""num-of-dest-snaps"": 1,         ""iops"": ""2"",         ""acc-num-of-small-wr"": ""8270571"",         ""alignment-offset"": 0,         ""lb-size"": 512,         ""logical-space-in-use"": ""448352992"",         ""unaligned-io-ratio-level"": ""high"",         ""acc-num-of-rd"": ""15803023"",         ""index"": 3,         ""small-rd-bw"": ""0"",         ""naa-name"": ""514f0c5a76000003"",         ""acc-size-of-wr"": ""1241874733"",         ""acc-num-of-small-rd"": ""2278816"",         ""unaligned-rd-iops"": ""0"",         ""wr-latency"": ""291"",         ""snapgrp-id"": [            ""b2f2a8402d614d6da980f328a12929ff"",             """",             3        ],         ""ancestor-vol-id"": [],         ""vaai-tp-alerts"": ""enabled"",         ""creation-time"": ""2015-02-10 07:41:13"",         ""rd-bw"": ""0"",         ""xms-id"": [            ""408005ad385a4285a32d8cecc54d74c8"",             ""xms"",             1        ],         ""compressible"": ""yes"",         ""small-wr-bw"": ""0"",         ""acc-num-of-unaligned-rd"": ""9035682"",         ""lu-name"": """",         ""unaligned-iops"": ""2"",         ""unaligned-bw"": ""5"",         ""bw"": ""5"",         ""small-io-ratio-level"": ""ok"",         ""lun-mapping-list"": [            [                [                    ""35acd4e13fc449528a5939c07d04fa13"",                     ""vmwarehorizon1"",                     4                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 0            ],             [                [                    ""14a1a6c05d4b4af09fe6938607d24754"",                     ""vmwarehorizon2"",                     5                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 0            ]        ],         ""vol-size"": ""2147483648"",         ""wr-iops"": ""2"",         ""sys-id"": [            ""79068dd4028a49cba1bef92db57805f8"",             ""cec-xio"",             1        ],         ""avg-latency"": ""291"",         ""rd-latency"": ""0"",         ""small-wr-iops"": ""0"",         ""small-bw"": ""0"",         ""name"": ""horizon_1"",         ""acc-num-of-unaligned-wr"": ""22737240"",         ""unaligned-wr-iops"": ""2"",         ""acc-num-of-wr"": ""31064533"",         ""small-io-ratio"": ""22"",         ""acc-size-of-rd"": ""1346732121"",         ""unaligned-wr-bw"": ""5"",         ""small-rd-iops"": ""0"",         ""unaligned-io-ratio"": ""67"",         ""rd-iops"": ""0"",         ""wr-bw"": ""5""    },     ""links"": [        {            ""href"": ""https://10.63.48.94/api/json/types/volumes/3"",             ""rel"": ""self""        }    ]}"
liacs253,xtremio://10.63.48.94::volumes,emc:xtremio:rest,main,"{    ""content"": {        ""unaligned-io-alerts"": ""enabled"",         ""small-io-alerts"": ""disabled"",         ""small-iops"": ""9"",         ""dest-snap-list"": [],         ""vol-id"": [            ""d0a2b06c40d9436196ab29bb07936486"",             ""RSA_ISILON_1"",             4        ],         ""obj-severity"": ""information"",         ""num-of-lun-mappings"": 2,         ""unaligned-rd-bw"": ""1"",         ""num-of-dest-snaps"": 0,         ""iops"": ""59"",         ""acc-num-of-small-wr"": ""28460889"",         ""alignment-offset"": 0,         ""lb-size"": 512,         ""logical-space-in-use"": ""232785048"",         ""unaligned-io-ratio-level"": ""high"",         ""acc-num-of-rd"": ""37294322"",         ""index"": 4,         ""small-rd-bw"": ""0"",         ""naa-name"": ""514f0c5a76000004"",         ""acc-size-of-wr"": ""2362395991"",         ""acc-num-of-small-rd"": ""7169716"",         ""unaligned-rd-iops"": ""0"",         ""wr-latency"": ""274"",         ""snapgrp-id"": [            ""43c29ccb21cd41db830300a973a56cbb"",             """",             4        ],         ""ancestor-vol-id"": [],         ""vaai-tp-alerts"": ""enabled"",         ""creation-time"": ""2015-03-02 08:55:59"",         ""rd-bw"": ""27"",         ""xms-id"": [            ""408005ad385a4285a32d8cecc54d74c8"",             ""xms"",             1        ],         ""compressible"": ""yes"",         ""small-wr-bw"": ""8"",         ""acc-num-of-unaligned-rd"": ""32131147"",         ""lu-name"": """",         ""unaligned-iops"": ""51"",         ""unaligned-bw"": ""328"",         ""bw"": ""452"",         ""small-io-ratio-level"": ""ok"",         ""lun-mapping-list"": [            [                [                    ""35acd4e13fc449528a5939c07d04fa13"",                     ""vmwarehorizon1"",                     4                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 1            ],             [                [                    ""14a1a6c05d4b4af09fe6938607d24754"",                     ""vmwarehorizon2"",                     5                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 1            ]        ],         ""vol-size"": ""2147483648"",         ""wr-iops"": ""59"",         ""sys-id"": [            ""79068dd4028a49cba1bef92db57805f8"",             ""cec-xio"",             1        ],         ""avg-latency"": ""274"",         ""rd-latency"": ""245"",         ""small-wr-iops"": ""9"",         ""small-bw"": ""8"",         ""name"": ""RSA_ISILON_1"",         ""acc-num-of-unaligned-wr"": ""267636567"",         ""unaligned-wr-iops"": ""51"",         ""acc-num-of-wr"": ""287404985"",         ""small-io-ratio"": ""10"",         ""acc-size-of-rd"": ""1393757476"",         ""unaligned-wr-bw"": ""327"",         ""small-rd-iops"": ""0"",         ""unaligned-io-ratio"": ""92"",         ""rd-iops"": ""0"",         ""wr-bw"": ""425""    },     ""links"": [        {            ""href"": ""https://10.63.48.94/api/json/types/volumes/4"",             ""rel"": ""self""        }    ]}"
liacs253,xtremio://10.63.48.94::volumes,emc:xtremio:rest,main,"{    ""content"": {        ""unaligned-io-alerts"": ""disabled"",         ""small-io-alerts"": ""disabled"",         ""small-iops"": ""0"",         ""dest-snap-list"": [            [                ""272284be7e1f4fa58f90833da3635aba"",                 ""lun1.snap.04292015-13:26"",                 6            ]        ],         ""vol-id"": [            ""b438c49b7eab4c7a9ce256309070a7c0"",             ""lun1"",             5        ],         ""obj-severity"": ""information"",         ""num-of-lun-mappings"": 2,         ""unaligned-rd-bw"": ""0"",         ""num-of-dest-snaps"": 1,         ""iops"": ""2"",         ""acc-num-of-small-wr"": ""163893"",         ""alignment-offset"": 0,         ""lb-size"": 512,         ""logical-space-in-use"": ""30814720"",         ""unaligned-io-ratio-level"": ""ok"",         ""acc-num-of-rd"": ""541668"",         ""index"": 5,         ""small-rd-bw"": ""0"",         ""naa-name"": ""514f0c5a76000005"",         ""acc-size-of-wr"": ""90748428"",         ""acc-num-of-small-rd"": ""40695"",         ""unaligned-rd-iops"": ""0"",         ""wr-latency"": ""358"",         ""snapgrp-id"": [            ""63f2fee4188847a5ad43a9bc53db9b35"",             """",             5        ],         ""ancestor-vol-id"": [],         ""vaai-tp-alerts"": ""disabled"",         ""creation-time"": ""2015-04-24 09:24:33"",         ""rd-bw"": ""0"",         ""xms-id"": [            ""408005ad385a4285a32d8cecc54d74c8"",             ""xms"",             1        ],         ""compressible"": ""yes"",         ""small-wr-bw"": ""0"",         ""acc-num-of-unaligned-rd"": ""466642"",         ""lu-name"": """",         ""unaligned-iops"": ""2"",         ""unaligned-bw"": ""17"",         ""bw"": ""17"",         ""small-io-ratio-level"": ""ok"",         ""lun-mapping-list"": [            [                [                    ""90bbfac22f664ae3837f0f16936b8803"",                     ""vcelab201"",                     7                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 0            ],             [                [                    ""bb83ac9b76804105a671bbdf37da55c5"",                     ""vcelab202"",                     8                ],                 [                    ""1265274042ef4632b156cd3c23de38ae"",                     ""Default"",                     1                ],                 0            ]        ],         ""vol-size"": ""1073741824"",         ""wr-iops"": ""2"",         ""sys-id"": [            ""79068dd4028a49cba1bef92db57805f8"",             ""cec-xio"",             1        ],         ""avg-latency"": ""358"",         ""rd-latency"": ""0"",         ""small-wr-iops"": ""0"",         ""small-bw"": ""0"",         ""name"": ""lun1"",         ""acc-num-of-unaligned-wr"": ""1646587"",         ""unaligned-wr-iops"": ""2"",         ""acc-num-of-wr"": ""1891373"",         ""small-io-ratio"": ""8"",         ""acc-size-of-rd"": ""16000623"",         ""unaligned-wr-bw"": ""17"",         ""small-rd-iops"": ""0"",         ""unaligned-io-ratio"": ""86"",         ""rd-iops"": ""0"",         ""wr-bw"": ""17""    },     ""links"": [        {            ""href"": ""https://10.63.48.94/api/json/types/volumes/5"",             ""rel"": ""self""        }    ]}"
liacs253,xtremio://10.63.48.94::volumes,emc:xtremio:rest,main,"{    ""content"": {        ""unaligned-io-alerts"": ""disabled"",         ""small-io-alerts"": ""disabled"",         ""small-iops"": ""0"",         ""dest-snap-list"": [],         ""vol-id"": [            ""272284be7e1f4fa58f90833da3635aba"",             ""lun1.snap.04292015-13:26"",             6        ],         ""obj-severity"": ""information"",         ""num-of-lun-mappings"": 0,         ""unaligned-rd-bw"": ""0"",         ""num-of-dest-snaps"": 0,         ""iops"": ""0"",         ""acc-num-of-small-wr"": ""0"",         ""alignment-offset"": 0,         ""lb-size"": 512,         ""logical-space-in-use"": ""30814720"",         ""unaligned-io-ratio-level"": ""ok"",         ""acc-num-of-rd"": ""0"",         ""index"": 6,         ""small-rd-bw"": ""0"",         ""naa-name"": """",         ""acc-size-of-wr"": ""0"",         ""acc-num-of-small-rd"": ""0"",         ""unaligned-rd-iops"": ""0"",         ""wr-latency"": ""0"",         ""snapgrp-id"": [            ""63f2fee4188847a5ad43a9bc53db9b35"",             """",             5        ],         ""ancestor-vol-id"": [            ""b438c49b7eab4c7a9ce256309070a7c0"",             ""lun1"",             5        ],         ""vaai-tp-alerts"": ""disabled"",         ""creation-time"": ""2015-04-29 10:52:43"",         ""rd-bw"": ""0"",         ""xms-id"": [            ""408005ad385a4285a32d8cecc54d74c8"",             ""xms"",             1        ],         ""compressible"": ""yes"",         ""small-wr-bw"": ""0"",         ""acc-num-of-unaligned-rd"": ""0"",         ""lu-name"": """",         ""unaligned-iops"": ""0"",         ""unaligned-bw"": ""0"",         ""bw"": ""0"",         ""small-io-ratio-level"": ""ok"",         ""lun-mapping-list"": [],         ""vol-size"": ""1073741824"",         ""wr-iops"": ""0"",         ""sys-id"": [            ""79068dd4028a49cba1bef92db57805f8"",             ""cec-xio"",             1        ],         ""avg-latency"": ""0"",         ""rd-latency"": ""0"",         ""small-wr-iops"": ""0"",         ""small-bw"": ""0"",         ""name"": ""lun1.snap.04292015-13:26"",         ""acc-num-of-unaligned-wr"": ""0"",         ""unaligned-wr-iops"": ""0"",         ""acc-num-of-wr"": ""0"",         ""small-io-ratio"": ""0"",         ""acc-size-of-rd"": ""0"",         ""unaligned-wr-bw"": ""0"",         ""small-rd-iops"": ""0"",         ""unaligned-io-ratio"": ""0"",         ""rd-iops"": ""0"",         ""wr-bw"": ""0""    },     ""links"": [        {            ""href"": ""https://10.63.48.94/api/json/types/volumes/6"",             ""rel"": ""self""        }    ]}"
liacs253,xtremio://10.63.48.94::volumes,emc:xtremio:rest,main,"{    ""content"": {        ""unaligned-io-alerts"": ""enabled"",         ""small-io-alerts"": ""disabled"",         ""small-iops"": ""0"",         ""dest-snap-list"": [],         ""vol-id"": [            ""b63db1ab345e4e18a0d3810bca016b08"",             ""horizon_1.snap.04292015-13:26"",             7        ],         ""obj-severity"": ""information"",         ""num-of-lun-mappings"": 0,         ""unaligned-rd-bw"": ""0"",         ""num-of-dest-snaps"": 0,         ""iops"": ""0"",         ""acc-num-of-small-wr"": ""0"",         ""alignment-offset"": 0,         ""lb-size"": 512,         ""logical-space-in-use"": ""448352992"",         ""unaligned-io-ratio-level"": ""ok"",         ""acc-num-of-rd"": ""0"",         ""index"": 7,         ""small-rd-bw"": ""0"",         ""naa-name"": """",         ""acc-size-of-wr"": ""0"",         ""acc-num-of-small-rd"": ""0"",         ""unaligned-rd-iops"": ""0"",         ""wr-latency"": ""0"",         ""snapgrp-id"": [            ""b2f2a8402d614d6da980f328a12929ff"",             """",             3        ],         ""ancestor-vol-id"": [            ""ef231e1c77b44e27b7cd2c418d2fa953"",             ""horizon_1"",             3        ],         ""vaai-tp-alerts"": ""enabled"",         ""creation-time"": ""2015-04-29 10:53:06"",         ""rd-bw"": ""0"",         ""xms-id"": [            ""408005ad385a4285a32d8cecc54d74c8"",             ""xms"",             1        ],         ""compressible"": ""yes"",         ""small-wr-bw"": ""0"",         ""acc-num-of-unaligned-rd"": ""0"",         ""lu-name"": """",         ""unaligned-iops"": ""0"",         ""unaligned-bw"": ""0"",         ""bw"": ""0"",         ""small-io-ratio-level"": ""ok"",         ""lun-mapping-list"": [],         ""vol-size"": ""2147483648"",         ""wr-iops"": ""0"",         ""sys-id"": [            ""79068dd4028a49cba1bef92db57805f8"",             ""cec-xio"",             1        ],         ""avg-latency"": ""0"",         ""rd-latency"": ""0"",         ""small-wr-iops"": ""0"",         ""small-bw"": ""0"",         ""name"": ""horizon_1.snap.04292015-13:26"",         ""acc-num-of-unaligned-wr"": ""0"",         ""unaligned-wr-iops"": ""0"",         ""acc-num-of-wr"": ""0"",         ""small-io-ratio"": ""0"",         ""acc-size-of-rd"": ""0"",         ""unaligned-wr-bw"": ""0"",         ""small-rd-iops"": ""0"",         ""unaligned-io-ratio"": ""0"",         ""rd-iops"": ""0"",         ""wr-bw"": ""0""    },     ""links"": [        {            ""href"": ""https://10.63.48.94/api/json/types/volumes/7"",             ""rel"": ""self""        }    ]}"
liacs253,xtremio://10.63.48.94::volume-folders,emc:xtremio:rest,main,"{    ""content"": {        ""small-iops"": ""13"",         ""obj-severity"": ""information"",         ""rd-bw"": ""13"",         ""unaligned-rd-bw"": ""13"",         ""iops"": ""79"",         ""acc-num-of-small-wr"": ""63856683"",         ""parent-folder-id"": [],         ""acc-num-of-rd"": ""124097172"",         ""index"": 1,         ""small-rd-bw"": ""7"",         ""num-of-direct-objs"": 3,         ""acc-size-of-wr"": ""13435793887"",         ""num-of-subfolders"": 3,         ""acc-num-of-small-rd"": ""35512763"",         ""unaligned-rd-iops"": ""5"",         ""empty-vol-blocks"": ""0"",         ""num-of-vols"": 7,         ""xms-id"": [            ""408005ad385a4285a32d8cecc54d74c8"",             ""xms"",             1        ],         ""subfolder-list"": [            [                ""47b8fa7b49d24a78b2fd125b3631bdd1"",                 ""/cliqr"",                 2            ],             [                ""f28107f61c944e308bdf58b9f334da3a"",                 ""/vmwarehorizon"",                 3            ],             [                ""6e40b8023dd4470e926ec3f3837f2549"",                 ""/vcelab201_202"",                 4            ]        ],         ""non-empty-vol-blocks"": ""0"",         ""unaligned-wr-iops"": ""68"",         ""acc-num-of-unaligned-rd"": ""94294261"",         ""folder-id"": [            ""c3ea8ed8ce0e4b66a3713e2f674aa99a"",             ""/"",             1        ],         ""small-wr-bw"": ""13"",         ""unaligned-iops"": ""73"",         ""unaligned-bw"": ""470"",         ""bw"": ""539"",         ""vol-size"": ""15032385536"",         ""wr-iops"": ""74"",         ""direct-list"": [            [                ""47b8fa7b49d24a78b2fd125b3631bdd1"",                 ""/cliqr"",                 2            ],             [                ""f28107f61c944e308bdf58b9f334da3a"",                 ""/vmwarehorizon"",                 3            ],             [                ""6e40b8023dd4470e926ec3f3837f2549"",                 ""/vcelab201_202"",                 4            ]        ],         ""small-wr-iops"": ""8"",         ""small-bw"": ""20"",         ""name"": ""/"",         ""acc-num-of-unaligned-wr"": ""416965431"",         ""acc-num-of-wr"": ""468549186"",         ""acc-size-of-rd"": ""9052920229"",         ""caption"": ""/"",         ""unaligned-wr-bw"": ""457"",         ""small-rd-iops"": ""5"",         ""rd-iops"": ""5"",         ""wr-bw"": ""526""    },     ""links"": [        {            ""href"": ""https://10.63.48.94/api/json/types/volume-folders/1"",             ""rel"": ""self""        }    ]}"
liacs253,xtremio://10.63.48.94::volume-folders,emc:xtremio:rest,main,"{    ""content"": {        ""small-iops"": ""8"",         ""obj-severity"": ""information"",         ""rd-bw"": ""13"",         ""unaligned-rd-bw"": ""13"",         ""iops"": ""38"",         ""acc-num-of-small-wr"": ""26961386"",         ""parent-folder-id"": [            ""c3ea8ed8ce0e4b66a3713e2f674aa99a"",             ""/"",             1        ],         ""acc-num-of-rd"": ""70458164"",         ""index"": 2,         ""small-rd-bw"": ""7"",         ""num-of-direct-objs"": 2,         ""acc-size-of-wr"": ""9740776944"",         ""num-of-subfolders"": 0,         ""acc-num-of-small-rd"": ""26023536"",         ""unaligned-rd-iops"": ""5"",         ""empty-vol-blocks"": ""0"",         ""num-of-vols"": 2,         ""xms-id"": [            ""408005ad385a4285a32d8cecc54d74c8"",             ""xms"",             1        ],         ""subfolder-list"": [],         ""non-empty-vol-blocks"": ""0"",         ""unaligned-wr-iops"": ""28"",         ""acc-num-of-unaligned-rd"": ""52660793"",         ""folder-id"": [            ""47b8fa7b49d24a78b2fd125b3631bdd1"",             ""/cliqr"",             2        ],         ""small-wr-bw"": ""3"",         ""unaligned-iops"": ""33"",         ""unaligned-bw"": ""239"",         ""bw"": ""293"",         ""vol-size"": ""6442450944"",         ""wr-iops"": ""33"",         ""direct-list"": [            [                ""1cbf273338c644f4a7e2257c9421d7aa"",                 ""cliqr_1"",                 1            ],             [                ""8c124356b7bb45ff87e862da7b6e623d"",                 ""cliqr_2"",                 2            ]        ],         ""small-wr-iops"": ""3"",         ""small-bw"": ""10"",         ""name"": ""/cliqr"",         ""acc-num-of-unaligned-wr"": ""124945319"",         ""acc-num-of-wr"": ""148188616"",         ""acc-size-of-rd"": ""6296430149"",         ""caption"": ""cliqr"",         ""unaligned-wr-bw"": ""226"",         ""small-rd-iops"": ""5"",         ""rd-iops"": ""5"",         ""wr-bw"": ""280""    },     ""links"": [        {            ""href"": ""https://10.63.48.94/api/json/types/volume-folders/2"",             ""rel"": ""self""        }    ]}"
liacs253,xtremio://10.63.48.94::volume-folders,emc:xtremio:rest,main,"{    ""content"": {        ""small-iops"": ""1"",         ""obj-severity"": ""information"",         ""rd-bw"": ""0"",         ""unaligned-rd-bw"": ""0"",         ""iops"": ""29"",         ""acc-num-of-small-wr"": ""36731405"",         ""parent-folder-id"": [            ""c3ea8ed8ce0e4b66a3713e2f674aa99a"",             ""/"",             1        ],         ""acc-num-of-rd"": ""53097340"",         ""index"": 3,         ""small-rd-bw"": ""0"",         ""num-of-direct-objs"": 3,         ""acc-size-of-wr"": ""3604268603"",         ""num-of-subfolders"": 0,         ""acc-num-of-small-rd"": ""9448532"",         ""unaligned-rd-iops"": ""0"",         ""empty-vol-blocks"": ""0"",         ""num-of-vols"": 3,         ""xms-id"": [            ""408005ad385a4285a32d8cecc54d74c8"",             ""xms"",             1        ],         ""subfolder-list"": [],         ""non-empty-vol-blocks"": ""0"",         ""unaligned-wr-iops"": ""29"",         ""acc-num-of-unaligned-rd"": ""41166826"",         ""folder-id"": [            ""f28107f61c944e308bdf58b9f334da3a"",             ""/vmwarehorizon"",             3        ],         ""small-wr-bw"": ""1"",         ""unaligned-iops"": ""29"",         ""unaligned-bw"": ""173"",         ""bw"": ""184"",         ""vol-size"": ""6442450944"",         ""wr-iops"": ""29"",         ""direct-list"": [            [                ""ef231e1c77b44e27b7cd2c418d2fa953"",                 ""horizon_1"",                 3            ],             [                ""d0a2b06c40d9436196ab29bb07936486"",                 ""RSA_ISILON_1"",                 4            ],             [                ""b63db1ab345e4e18a0d3810bca016b08"",                 ""horizon_1.snap.04292015-13:26"",                 7            ]        ],         ""small-wr-iops"": ""1"",         ""small-bw"": ""1"",         ""name"": ""/vmwarehorizon"",         ""acc-num-of-unaligned-wr"": ""290373538"",         ""acc-num-of-wr"": ""318469210"",         ""acc-size-of-rd"": ""2740489457"",         ""caption"": ""vmwarehorizon"",         ""unaligned-wr-bw"": ""173"",         ""small-rd-iops"": ""0"",         ""rd-iops"": ""0"",         ""wr-bw"": ""184""    },     ""links"": [        {            ""href"": ""https://10.63.48.94/api/json/types/volume-folders/3"",             ""rel"": ""self""        }    ]}"
